timestamp_s,frame,label,event,tip_err_m,in_gripper,finger_pos,finger_vel,finger_effort,finger_effort_l1,arm_effort_l1,head_pos_x,head_pos_y,head_pos_z,head_lin_vel_x,head_lin_vel_y,head_lin_vel_z,head_ang_vel_x,head_ang_vel_y,head_ang_vel_z,gripper_tip_x,gripper_tip_y,gripper_tip_z,cable_tip_x,cable_tip_y,cable_tip_z
1788653303.751712,5,Grasp and lift E_part006_44: squeeze-hold,during,0.003119,1,0.728069,0.0479061 -0.0479059 -0.0680859 -0.60399 0.0793154,9.4186 4.24768 -4.38225 -0.000171247 4.45633e-05,18.04875020315012,20.442613787949085,0.5924531227648423,-0.34765827655732773,1.1309286355925723,0.0,0.0,0.0,0.0,0.0,0.0,0.5860594845324509,-0.3476608535488724,1.1254823925560802,0.5861128932130708,-0.3476393777043162,1.128600967689244
1788653304.162337,10,Grasp and lift E_part006_44: squeeze-hold,during,0.003119,1,0.728061,0.00574653 -0.00574657 -0.114507 -0.573486 0.123465,9.31169 4.19807 -4.37599 1.63879e-05 -7.05983e-06,17.885776125632674,21.104404538869858,0.5924546724856065,-0.3476575613015904,1.1309304237319155,-0.004678795579820871,0.009275143966078758,-0.008809122256934643,-0.3241760730743408,-0.2913037836551666,-0.08459191769361496,0.586061278002014,-0.34765930892660046,1.1254846483971073,0.5861141853761941,-0.34763865540573624,1.1286034527742057
1788653304.584384,15,Grasp and lift E_part006_44: squeeze-hold,during,0.003119,1,0.728062,0.00664695 -0.00664684 -0.113956 -0.57602 0.122919,9.31138 4.19712 -4.3761 -4.57741e-06 8.7988e-07,17.88459846723873,21.109813787043095,0.5924546724856065,-0.3476574420923009,1.130930304522626,-0.004684496205300093,0.009317927993834019,-0.008790996856987476,-0.33850881457328796,-0.2897164225578308,-0.08793455362319946,0.5860613337522075,-0.34765945116257657,1.1254847002800799,0.5861142391234295,-0.3476386882318321,1.1286031858904848
1788653304.989277,20,Grasp and lift E_part006_44: squeeze-hold,during,0.003119,1,0.728062,0.0064265 -0.00642648 -0.113988 -0.574772 0.122974,9.3091 4.19702 -4.37487 -8.82393e-06 -1.98407e-06,17.881005604753454,21.072989784181118,0.5924546724856065,-0.3476576209062352,1.130930542941205,-0.004672599025070667,0.009211963973939419,-0.008798560127615929,-0.31706419587135315,-0.2898072600364685,-0.08271650969982147,0.5860610981307617,-0.3476596773564007,1.125484590863078,0.5861141914199905,-0.34763870642535744,1.1286035555853036
1788653305.397803,25,Grasp and lift E_part006_44: squeeze-hold,during,0.003119,1,0.728061,0.00585242 -0.00585245 -0.114427 -0.574712 0.123494,9.31414 4.19892 -4.37579 2.1794e-06 3.24265e-07,17.888863683015074,21.094578877091408,0.5924547320902512,-0.3476576209062352,1.130930542941205,-0.004673276096582413,0.00919551495462656,-0.008750961162149906,-0.3116268217563629,-0.29051271080970764,-0.0816478356719017,0.5860610765823167,-0.3476596737152184,1.1254846549589013,0.5861142544675539,-0.3476387028301938,1.1286035462334247
1788653305.805984,30,Grasp and lift E_part006_44: squeeze-hold,during,0.003119,1,0.728062,0.00617693 -0.00617698 -0.11383 -0.573009 0.122848,9.31472 4.19987 -4.37631 5.09577e-06 3.85712e-07,17.890902755503163,21.09158591926098,0.5924546724856065,-0.3476575613015904,1.130930542941205,-0.0046790167689323425,0.00929040927439928,-0.008789913728833199,-0.3275032043457031,-0.29273244738578796,-0.08485129475593567,0.5860611886388923,-0.34765976075939525,1.1254847385852602,0.5861141888412408,-0.3476386135988144,1.128603562882064
1788653306.221709,35,Grasp and lift E_part006_44: squeeze-hold,during,0.003120,1,0.728062,0.00664614 -0.00664617 -0.11427 -0.576667 0.123138,9.31171 4.19802 -4.37623 -6.95254e-06 4.39236e-06,17.88597335432678,21.109046787023544,0.5924546724856065,-0.34765753149926804,1.1309304237319155,-0.0046937307342886925,0.009313762187957764,-0.008830943144857883,-0.3226279020309448,-0.29312068223953247,-0.08502068370580673,0.5860612147749522,-0.34765920785260085,1.1254844646506805,0.5861141852278133,-0.3476386208509516,1.128603453217128
1788653306.629503,40,Grasp and lift E_part006_44: squeeze-hold,during,0.003119,1,0.728064,0.00711676 -0.00711684 -0.113576 -0.576376 0.12257,9.3079 4.19613 -4.37621 -5.66539e-06 1.96551e-06,17.88025093229021,21.087535940110683,0.5924546724856065,-0.34765750169694565,1.1309304237319155,-0.0046933600679039955,0.00934320967644453,-0.008855079300701618,-0.3318728804588318,-0.29230746626853943,-0.08682559430599213,0.5860612638784394,-0.3476595126448885,1.1254846591095948,0.5861141868207937,-0.3476385923980379,1.128603448865643
1788653307.032794,45,Grasp and lift E_part006_44: squeeze-hold,during,0.003119,1,0.728062,0.00713296 -0.00713295 -0.113555 -0.57686 0.122585,9.31099 4.19739 -4.37712 -3.9663e-06 1.54534e-06,17.885498790149995,21.09358661621809,0.5924546724856065,-0.34765750169694565,1.1309304237319155,-0.004692537244409323,0.009356350637972355,-0.008840334601700306,-0.33430215716362,-0.29158449172973633,-0.08718576282262802,0.586061216784428,-0.34765953494077945,1.1254846336006568,0.5861141910132027,-0.34763859136259545,1.1286034374507126
1788653307.438718,50,Grasp and lift E_part006_44: squeeze-hold,during,0.003119,1,0.728062,0.00558732 -0.00558731 -0.115527 -0.576567 0.124437,9.31252 4.19684 -4.37633 -2.59449e-07 -5.75328e-06,17.885694317629827,21.15653183311224,0.5924547320902512,-0.34765753149926804,1.1309304237319155,-0.004692406859248877,0.009299266152083874,-0.008798438124358654,-0.33356764912605286,-0.2883981466293335,-0.08659510314464569,0.5860612393470432,-0.3476596127567969,1.1254848228924834,0.5861142343222225,-0.34763862954929675,1.1286034817847548
